latitude,longitude,frp,bright_ti4,ts
-6.10059,105.42527,21.05,341.29,2026-08-29 12:38
-6.104,105.4228,15.43,346.82,2026-08-29 13:59
-6.09983,105.42216,15.43,342.91,2026-08-29 13:59
-6.10265,105.42255,9.48,349.79,2026-08-29 14:20
-6.10163,105.42816,9.48,335.2,2026-08-29 14:20
-6.10439,105.42026,18.49,367.0,2026-08-30 00:28
-6.10361,105.42156,15.95,367.0,2026-08-30 00:28
-6.10328,105.42178,26.42,350.06,2026-08-30 01:04
-6.10084,105.42435,2.44,328.59,2026-08-30 01:21
-6.10029,105.42089,2.44,330.98,2026-08-30 01:21
-6.10543,105.41888,4.04,306.12,2026-08-30 02:08
-6.10615,105.42439,4.04,339.51,2026-08-30 02:08
-6.10066,105.41894,9.37,330.44,2026-08-30 13:03
-6.10011,105.42281,9.37,347.7,2026-08-30 13:03
-6.09543,105.4258,17.12,331.91,2026-08-30 13:05
-6.09595,105.4221,9.37,332.56,2026-08-30 13:05
-6.09536,105.422,9.49,330.12,2026-08-30 13:59
-6.1047,105.42319,17.1,343.44,2026-08-30 13:59
-6.10396,105.42338,6.59,333.24,2026-08-31 00:45
-6.10299,105.41811,6.59,338.34,2026-08-31 00:45
-6.10114,105.42473,5.4,313.46,2026-08-31 00:45
-6.10027,105.41981,10.53,348.26,2026-08-31 00:45
-6.10086,105.42403,1.66,305.62,2026-08-31 01:04
-6.10025,105.42046,1.77,306.75,2026-08-31 01:04
-6.0992,105.42117,27.59,340.06,2026-08-31 12:46
-6.10495,105.42213,27.59,367.0,2026-08-31 12:46
-6.09852,105.42091,10.2,367.0,2026-09-01 00:45
-6.09919,105.42473,10.2,307.49,2026-09-01 00:45
-6.10521,105.42267,3.34,350.74,2026-09-01 02:06
-6.10571,105.42625,3.34,311.34,2026-09-01 02:06
-6.09947,105.42031,7.72,333.79,2026-09-01 02:06
-6.10041,105.42705,4.63,311.35,2026-09-01 02:06
-6.09993,105.42359,4.63,367.0,2026-09-01 02:06
-6.10477,105.4195,5.9,316.88,2026-09-01 02:06
-6.10065,105.42495,18.03,339.75,2026-09-01 13:03
-6.10108,105.4219,18.03,352.13,2026-09-01 13:03
-6.10435,105.42123,4.43,335.93,2026-09-02 01:13
